Hour,Julafton,Nyårsafton,Nyårsdagen,Remarks
05:30,Karlskrona,Karlskrona,Karlskrona,
06:00,Aspö,Aspö,Aspö,
07:30,Karlskrona,Karlskrona,Karlskrona,
08:30,Aspö,Aspö,Aspö,
09:30,Karlskrona,Karlskrona,Karlskrona,
10:00,Aspö,Aspö,Aspö,
11:30,Karlskrona,Karlskrona,Karlskrona,
12:30,Aspö,Aspö,Aspö,
13:30,Karlskrona,Karlskrona,Karlskrona,
14:00,Aspö,Aspö,Aspö,
15:30,Karlskrona,Karlskrona,Karlskrona,
16:00,Aspö,Aspö,Aspö,
17:30,Karlskrona,Karlskrona,Karlskrona,
18:00,Aspö,Aspö,Aspö,
19:30,Karlskrona,Karlskrona,Karlskrona,
20:00,Aspö,Aspö,Aspö,
21:30,Karlskrona,Karlskrona,Karlskrona,
22:00,Aspö,Aspö,Aspö,
23:30,Karlskrona,,,
